criteria.offerCode;criteria.productId;depositId;review.irregularities;review.downgradedReason
3055;K5;0237102220230502002585;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0347011520230502000650;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230503002592;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230503000676;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230504000685;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230504002599;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0347011520230505000658;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230505002608;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230505002604;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230509002613;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230509001400;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230509000693;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0347011520230509000660;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230504002600;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230509002614;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230509002609;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0003065820230510000429;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0015036220230510002217;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230511002626;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230512001418;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230515002642;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230515000719;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230515002635;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230516002643;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004718420230516000367;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230517002655;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230519002664;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230519002661;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230519002662;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230519002663;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230519000734;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230522002673;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0023633020230517001971;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230523002680;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230524002685;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230524002686;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0491268620230522000012;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0004909320230524001447;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230524001448;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230524002681;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230525002693;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230525001450;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230526002705;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
